career,category,description,skills,interests,work_style,roadmap,career_text,match_text
Data Analyst,Data & AI,"Analyzes structured business data to answer practical questions, identify trends, monitor performance, and support decisions using reports and dashboards.",Excel; SQL; Python basics; statistics; data cleaning; Power BI or Tableau; communication,numbers; patterns; business questions; charts; problem solving,structured analytical work; frequent collaboration with business teams; detail-oriented; report and dashboard focused,Excel fundamentals → SQL → statistics basics → Python with pandas → Power BI/Tableau → portfolio data analysis projects,"Career: Data Analyst. Description: Analyzes structured business data to answer practical questions, identify trends, monitor performance, and support decisions using reports and dashboards.. Skills: Excel; SQL; Python basics; statistics; data cleaning; Power BI or Tableau; communication. Interests: numbers; patterns; business questions; charts; problem solving. Work style: structured analytical work; frequent collaboration with business teams; detail-oriented; report and dashboard focused.","A student who may enjoy a career as Data Analyst may be interested in numbers; patterns; business questions; charts; problem solving. They may enjoy using skills such as Excel; SQL; Python basics; statistics; data cleaning; Power BI or Tableau; communication. The work may suit someone who prefers structured analytical work; frequent collaboration with business teams; detail-oriented; report and dashboard focused. The career involves Analyzes structured business data to answer practical questions, identify trends, monitor performance, and support decisions using reports and dashboards.."
Data Scientist,Data & AI,"Uses statistics, programming, experiments, and machine learning to discover patterns in complex data and build models that support predictions or decisions.",Python; statistics; probability; SQL; pandas; machine learning; data visualization; experimentation,mathematics; statistics; coding; research; discovering patterns; predictive problems,analytical and experimental; works with uncertain problems; combines independent research with teamwork,Python → statistics and probability → SQL → pandas and visualization → scikit-learn → machine learning projects,"Career: Data Scientist. Description: Uses statistics, programming, experiments, and machine learning to discover patterns in complex data and build models that support predictions or decisions.. Skills: Python; statistics; probability; SQL; pandas; machine learning; data visualization; experimentation. Interests: mathematics; statistics; coding; research; discovering patterns; predictive problems. Work style: analytical and experimental; works with uncertain problems; combines independent research with teamwork.","A student who may enjoy a career as Data Scientist may be interested in mathematics; statistics; coding; research; discovering patterns; predictive problems. They may enjoy using skills such as Python; statistics; probability; SQL; pandas; machine learning; data visualization; experimentation. The work may suit someone who prefers analytical and experimental; works with uncertain problems; combines independent research with teamwork. The career involves Uses statistics, programming, experiments, and machine learning to discover patterns in complex data and build models that support predictions or decisions.."
Machine Learning Engineer,Data & AI,"Builds, tests, deploys, and maintains machine learning systems so trained models can work reliably inside real software products.",Python; machine learning; scikit-learn; model evaluation; APIs basics; Git; Docker basics; software engineering,AI systems; coding; optimization; automation; solving technical problems,engineering-focused; code-heavy; iterative testing; collaboration with data scientists and software engineers,Python → data structures → ML fundamentals → scikit-learn → model deployment basics → Git/Docker → end-to-end ML project,"Career: Machine Learning Engineer. Description: Builds, tests, deploys, and maintains machine learning systems so trained models can work reliably inside real software products.. Skills: Python; machine learning; scikit-learn; model evaluation; APIs basics; Git; Docker basics; software engineering. Interests: AI systems; coding; optimization; automation; solving technical problems. Work style: engineering-focused; code-heavy; iterative testing; collaboration with data scientists and software engineers.","A student who may enjoy a career as Machine Learning Engineer may be interested in AI systems; coding; optimization; automation; solving technical problems. They may enjoy using skills such as Python; machine learning; scikit-learn; model evaluation; APIs basics; Git; Docker basics; software engineering. The work may suit someone who prefers engineering-focused; code-heavy; iterative testing; collaboration with data scientists and software engineers. The career involves Builds, tests, deploys, and maintains machine learning systems so trained models can work reliably inside real software products.."
AI Engineer,Data & AI,"Develops applications that use modern artificial intelligence models such as language, vision, or recommendation models and integrates them into useful products.",Python; AI concepts; neural networks basics; APIs; prompt design; model evaluation; software development,artificial intelligence; automation; language technology; intelligent applications; experimentation,prototype-driven and technical; combines software building with testing AI behavior; fast-changing field,Python → ML basics → neural network concepts → transformers basics → model APIs/local models → AI application projects,"Career: AI Engineer. Description: Develops applications that use modern artificial intelligence models such as language, vision, or recommendation models and integrates them into useful products.. Skills: Python; AI concepts; neural networks basics; APIs; prompt design; model evaluation; software development. Interests: artificial intelligence; automation; language technology; intelligent applications; experimentation. Work style: prototype-driven and technical; combines software building with testing AI behavior; fast-changing field.","A student who may enjoy a career as AI Engineer may be interested in artificial intelligence; automation; language technology; intelligent applications; experimentation. They may enjoy using skills such as Python; AI concepts; neural networks basics; APIs; prompt design; model evaluation; software development. The work may suit someone who prefers prototype-driven and technical; combines software building with testing AI behavior; fast-changing field. The career involves Develops applications that use modern artificial intelligence models such as language, vision, or recommendation models and integrates them into useful products.."
Business Intelligence Analyst,Data & AI,"Turns organizational data into dashboards, KPI reports, and business insights that help managers understand performance and make better decisions.",SQL; Excel; Power BI; Tableau; data modeling; DAX basics; KPI design; presentation,business performance; dashboards; visual storytelling; numbers; decision support,business-facing analytical work; dashboard focused; regular communication with managers and stakeholders,Excel → SQL → data modeling → Power BI → DAX → KPI/dashboard design → BI portfolio,"Career: Business Intelligence Analyst. Description: Turns organizational data into dashboards, KPI reports, and business insights that help managers understand performance and make better decisions.. Skills: SQL; Excel; Power BI; Tableau; data modeling; DAX basics; KPI design; presentation. Interests: business performance; dashboards; visual storytelling; numbers; decision support. Work style: business-facing analytical work; dashboard focused; regular communication with managers and stakeholders.","A student who may enjoy a career as Business Intelligence Analyst may be interested in business performance; dashboards; visual storytelling; numbers; decision support. They may enjoy using skills such as SQL; Excel; Power BI; Tableau; data modeling; DAX basics; KPI design; presentation. The work may suit someone who prefers business-facing analytical work; dashboard focused; regular communication with managers and stakeholders. The career involves Turns organizational data into dashboards, KPI reports, and business insights that help managers understand performance and make better decisions.."
Software Engineer,Technology,"Designs and builds reliable software applications by writing code, solving technical problems, testing features, and maintaining software systems.",programming; data structures; algorithms; Git; debugging; testing; software design,coding; logic; building applications; technology; problem solving,project-based and technical; long periods of focused coding with team collaboration and code reviews,Choose Python/Java/C++ → programming fundamentals → data structures → Git → software projects → testing and clean code,"Career: Software Engineer. Description: Designs and builds reliable software applications by writing code, solving technical problems, testing features, and maintaining software systems.. Skills: programming; data structures; algorithms; Git; debugging; testing; software design. Interests: coding; logic; building applications; technology; problem solving. Work style: project-based and technical; long periods of focused coding with team collaboration and code reviews.","A student who may enjoy a career as Software Engineer may be interested in coding; logic; building applications; technology; problem solving. They may enjoy using skills such as programming; data structures; algorithms; Git; debugging; testing; software design. The work may suit someone who prefers project-based and technical; long periods of focused coding with team collaboration and code reviews. The career involves Designs and builds reliable software applications by writing code, solving technical problems, testing features, and maintaining software systems.."
Web Developer,Technology,"Builds websites and web applications, working with browser technologies and sometimes server-side code to create complete online experiences.",HTML; CSS; JavaScript; web fundamentals; Git; responsive design; backend basics,websites; coding; interactive applications; visual interfaces; technology,hands-on development; mixes visual and logical work; project-based; frequent testing in browsers,HTML → CSS → JavaScript → Git → responsive web design → backend basics → full web projects,"Career: Web Developer. Description: Builds websites and web applications, working with browser technologies and sometimes server-side code to create complete online experiences.. Skills: HTML; CSS; JavaScript; web fundamentals; Git; responsive design; backend basics. Interests: websites; coding; interactive applications; visual interfaces; technology. Work style: hands-on development; mixes visual and logical work; project-based; frequent testing in browsers.","A student who may enjoy a career as Web Developer may be interested in websites; coding; interactive applications; visual interfaces; technology. They may enjoy using skills such as HTML; CSS; JavaScript; web fundamentals; Git; responsive design; backend basics. The work may suit someone who prefers hands-on development; mixes visual and logical work; project-based; frequent testing in browsers. The career involves Builds websites and web applications, working with browser technologies and sometimes server-side code to create complete online experiences.."
Frontend Developer,Technology,"Creates the visible and interactive parts of websites and web applications, focusing on user interfaces, usability, responsiveness, and browser behavior.",HTML; CSS; JavaScript; TypeScript basics; frontend frameworks; accessibility; Git,user interfaces; coding; design details; interactive websites; visual problem solving,detail-oriented and visual; works closely with designers; frequent browser testing and iteration,HTML/CSS → JavaScript → responsive design → accessibility → TypeScript → React or another framework → frontend portfolio,"Career: Frontend Developer. Description: Creates the visible and interactive parts of websites and web applications, focusing on user interfaces, usability, responsiveness, and browser behavior.. Skills: HTML; CSS; JavaScript; TypeScript basics; frontend frameworks; accessibility; Git. Interests: user interfaces; coding; design details; interactive websites; visual problem solving. Work style: detail-oriented and visual; works closely with designers; frequent browser testing and iteration.","A student who may enjoy a career as Frontend Developer may be interested in user interfaces; coding; design details; interactive websites; visual problem solving. They may enjoy using skills such as HTML; CSS; JavaScript; TypeScript basics; frontend frameworks; accessibility; Git. The work may suit someone who prefers detail-oriented and visual; works closely with designers; frequent browser testing and iteration. The career involves Creates the visible and interactive parts of websites and web applications, focusing on user interfaces, usability, responsiveness, and browser behavior.."
Backend Developer,Technology,"Builds the server-side logic behind applications, including databases, APIs, authentication logic, business rules, and system integrations.",Python/Java/Node basics; SQL; databases; APIs; Git; server concepts; debugging,logic; databases; system behavior; coding; solving technical problems,logic-heavy and less visual; focused coding; works with frontend developers and database systems,Programming fundamentals → SQL → backend framework → REST APIs → databases → testing → deployment basics,"Career: Backend Developer. Description: Builds the server-side logic behind applications, including databases, APIs, authentication logic, business rules, and system integrations.. Skills: Python/Java/Node basics; SQL; databases; APIs; Git; server concepts; debugging. Interests: logic; databases; system behavior; coding; solving technical problems. Work style: logic-heavy and less visual; focused coding; works with frontend developers and database systems.","A student who may enjoy a career as Backend Developer may be interested in logic; databases; system behavior; coding; solving technical problems. They may enjoy using skills such as Python/Java/Node basics; SQL; databases; APIs; Git; server concepts; debugging. The work may suit someone who prefers logic-heavy and less visual; focused coding; works with frontend developers and database systems. The career involves Builds the server-side logic behind applications, including databases, APIs, authentication logic, business rules, and system integrations.."
Mobile App Developer,Technology,"Develops applications for smartphones and tablets, creating mobile interfaces and connecting apps with device features, databases, or online services.",Kotlin/Swift/Dart; mobile UI; APIs; Git; debugging; app architecture basics,mobile technology; apps; coding; user interfaces; product building,product-oriented coding; combines interface and logic work; frequent device testing,Programming basics → choose Android/iOS/Flutter → mobile UI → APIs → local storage → build and publish sample apps,"Career: Mobile App Developer. Description: Develops applications for smartphones and tablets, creating mobile interfaces and connecting apps with device features, databases, or online services.. Skills: Kotlin/Swift/Dart; mobile UI; APIs; Git; debugging; app architecture basics. Interests: mobile technology; apps; coding; user interfaces; product building. Work style: product-oriented coding; combines interface and logic work; frequent device testing.","A student who may enjoy a career as Mobile App Developer may be interested in mobile technology; apps; coding; user interfaces; product building. They may enjoy using skills such as Kotlin/Swift/Dart; mobile UI; APIs; Git; debugging; app architecture basics. The work may suit someone who prefers product-oriented coding; combines interface and logic work; frequent device testing. The career involves Develops applications for smartphones and tablets, creating mobile interfaces and connecting apps with device features, databases, or online services.."
