career,category,description,skills,interests,work_style,roadmap
Data Analyst,Data & AI,"Analyzes structured business data to answer practical questions, identify trends, monitor performance, and support decisions using reports and dashboards.",Excel; SQL; Python basics; statistics; data cleaning; Power BI or Tableau; communication,numbers; patterns; business questions; charts; problem solving,structured analytical work; frequent collaboration with business teams; detail-oriented; report and dashboard focused,Excel fundamentals → SQL → statistics basics → Python with pandas → Power BI/Tableau → portfolio data analysis projects
Data Scientist,Data & AI,"Uses statistics, programming, experiments, and machine learning to discover patterns in complex data and build models that support predictions or decisions.",Python; statistics; probability; SQL; pandas; machine learning; data visualization; experimentation,mathematics; statistics; coding; research; discovering patterns; predictive problems,analytical and experimental; works with uncertain problems; combines independent research with teamwork,Python → statistics and probability → SQL → pandas and visualization → scikit-learn → machine learning projects
Machine Learning Engineer,Data & AI,"Builds, tests, deploys, and maintains machine learning systems so trained models can work reliably inside real software products.",Python; machine learning; scikit-learn; model evaluation; APIs basics; Git; Docker basics; software engineering,AI systems; coding; optimization; automation; solving technical problems,engineering-focused; code-heavy; iterative testing; collaboration with data scientists and software engineers,Python → data structures → ML fundamentals → scikit-learn → model deployment basics → Git/Docker → end-to-end ML project
AI Engineer,Data & AI,"Develops applications that use modern artificial intelligence models such as language, vision, or recommendation models and integrates them into useful products.",Python; AI concepts; neural networks basics; APIs; prompt design; model evaluation; software development,artificial intelligence; automation; language technology; intelligent applications; experimentation,prototype-driven and technical; combines software building with testing AI behavior; fast-changing field,Python → ML basics → neural network concepts → transformers basics → model APIs/local models → AI application projects
Business Intelligence Analyst,Data & AI,"Turns organizational data into dashboards, KPI reports, and business insights that help managers understand performance and make better decisions.",SQL; Excel; Power BI; Tableau; data modeling; DAX basics; KPI design; presentation,business performance; dashboards; visual storytelling; numbers; decision support,business-facing analytical work; dashboard focused; regular communication with managers and stakeholders,Excel → SQL → data modeling → Power BI → DAX → KPI/dashboard design → BI portfolio
Software Engineer,Technology,"Designs and builds reliable software applications by writing code, solving technical problems, testing features, and maintaining software systems.",programming; data structures; algorithms; Git; debugging; testing; software design,coding; logic; building applications; technology; problem solving,project-based and technical; long periods of focused coding with team collaboration and code reviews,Choose Python/Java/C++ → programming fundamentals → data structures → Git → software projects → testing and clean code
Web Developer,Technology,"Builds websites and web applications, working with browser technologies and sometimes server-side code to create complete online experiences.",HTML; CSS; JavaScript; web fundamentals; Git; responsive design; backend basics,websites; coding; interactive applications; visual interfaces; technology,hands-on development; mixes visual and logical work; project-based; frequent testing in browsers,HTML → CSS → JavaScript → Git → responsive web design → backend basics → full web projects
Frontend Developer,Technology,"Creates the visible and interactive parts of websites and web applications, focusing on user interfaces, usability, responsiveness, and browser behavior.",HTML; CSS; JavaScript; TypeScript basics; frontend frameworks; accessibility; Git,user interfaces; coding; design details; interactive websites; visual problem solving,detail-oriented and visual; works closely with designers; frequent browser testing and iteration,HTML/CSS → JavaScript → responsive design → accessibility → TypeScript → React or another framework → frontend portfolio
Backend Developer,Technology,"Builds the server-side logic behind applications, including databases, APIs, authentication logic, business rules, and system integrations.",Python/Java/Node basics; SQL; databases; APIs; Git; server concepts; debugging,logic; databases; system behavior; coding; solving technical problems,logic-heavy and less visual; focused coding; works with frontend developers and database systems,Programming fundamentals → SQL → backend framework → REST APIs → databases → testing → deployment basics
Mobile App Developer,Technology,"Develops applications for smartphones and tablets, creating mobile interfaces and connecting apps with device features, databases, or online services.",Kotlin/Swift/Dart; mobile UI; APIs; Git; debugging; app architecture basics,mobile technology; apps; coding; user interfaces; product building,product-oriented coding; combines interface and logic work; frequent device testing,Programming basics → choose Android/iOS/Flutter → mobile UI → APIs → local storage → build and publish sample apps
Cybersecurity Analyst,Technology,"Protects computers, networks, and information by monitoring security events, investigating threats, identifying weaknesses, and improving defenses.",networking; Linux; security fundamentals; log analysis; incident response; risk assessment; scripting basics,security; investigation; puzzles; networks; protecting systems; identifying threats,alert and investigation focused; detail-oriented; may involve urgent incidents and continuous learning,Networking → Linux → cybersecurity fundamentals → security tools → log analysis → incident response → security labs
Cloud Engineer,Technology,"Designs and manages computing infrastructure on cloud platforms so applications can run securely, reliably, and at the required scale.",Linux; networking; AWS/Azure/GCP; scripting; cloud services; security basics; infrastructure concepts,cloud technology; infrastructure; networking; automation; scalable systems,technical and infrastructure-focused; troubleshooting; configuration; teamwork with developers and operations,Linux → networking → cloud fundamentals → choose AWS/Azure/GCP → IAM/storage/compute → scripting → cloud projects
DevOps Engineer,Technology,"Improves the process of building, testing, deploying, and operating software by using automation, cloud tools, containers, and continuous integration.",Linux; Git; scripting; Docker; CI/CD; cloud basics; monitoring; networking,automation; software delivery; infrastructure; troubleshooting; efficient workflows,automation-heavy and collaborative; combines development and operations; frequent troubleshooting,Linux/Git → scripting → Docker → CI/CD → cloud basics → monitoring → automated deployment project
Database Administrator,Technology,"Manages databases to keep organizational data available, secure, backed up, accurate, and performing efficiently.",SQL; database systems; backup and recovery; security; performance tuning; Linux basics,databases; organized information; reliability; troubleshooting; system administration,structured and responsibility-focused; monitoring and maintenance; careful change management,SQL → relational databases → administration → backup/recovery → security → performance tuning → database project
QA Engineer,Technology,"Checks software quality by designing tests, finding defects, documenting problems, and sometimes automating tests before software is released.",software testing; test cases; bug reporting; automation basics; Python/Java basics; attention to detail,finding mistakes; software quality; logical testing; user scenarios; problem solving,systematic and detail-oriented; repetitive testing mixed with investigation; close work with developers,Testing fundamentals → test-case design → bug tracking → programming basics → automation tools → API testing
Game Developer,Technology,"Creates video games by programming gameplay systems, player interactions, physics, graphics behavior, and other game features.",C# or C++; game engines; programming; mathematics; debugging; game design basics,games; coding; creativity; interactive worlds; graphics; problem solving,creative and technical; iterative development; teamwork with artists and designers; project deadline driven,Programming → C#/C++ → Unity/Unreal basics → game mathematics → small games → portfolio
Business Analyst,Business,"Studies business processes and problems, gathers requirements from stakeholders, and helps organizations design practical improvements or technology solutions.",requirements gathering; communication; process mapping; Excel; analysis; documentation; presentation,business problems; communication; improving processes; technology; decision making,meeting and analysis heavy; bridges technical and nontechnical teams; documentation focused,Business analysis basics → Excel → process mapping → requirements → SQL basics → case studies and BA documentation
Product Manager,Business,"Guides the direction of a product by understanding users, defining priorities, coordinating teams, and deciding which problems and features should be addressed.",communication; product strategy; user research; prioritization; analytics basics; roadmap planning,products; users; strategy; leadership; technology; solving customer problems,"high collaboration; many meetings and decisions; balances business, user, and technical needs",Product fundamentals → user research → market analysis → prioritization → analytics basics → product case studies
Project Manager,Business,"Plans and coordinates projects by organizing tasks, schedules, budgets, people, risks, and communication so work is completed successfully.",planning; communication; scheduling; risk management; budgeting basics; leadership; documentation,organization; teamwork; leadership; deadlines; coordinating people,coordination-heavy; frequent communication; structured planning; deadline and responsibility focused,Project fundamentals → planning tools → scheduling → risk management → budgeting basics → lead small projects
Management Consultant,Business,"Analyzes organizational challenges and develops recommendations to improve strategy, operations, costs, growth, or business performance.",problem solving; research; Excel; presentation; business analysis; communication; structured thinking,business strategy; solving complex problems; research; presentations; different industries,fast-paced and client-facing; analytical; presentation-heavy; may involve travel and tight deadlines,Business fundamentals → Excel → structured problem solving → research → presentation skills → consulting case practice
Entrepreneur,Business,"Creates and develops a business by identifying customer problems, designing a solution, finding a market, managing resources, and taking financial risk.",communication; sales; finance basics; marketing; leadership; problem solving; adaptability,business ideas; independence; leadership; innovation; customers; building something new,high independence and uncertainty; broad responsibilities; fast decisions; strong customer interaction,Problem discovery → business model → market research → basic finance → sales/marketing → prototype → small business validation
Human Resources Specialist,Business,"Supports organizations by recruiting employees, coordinating HR processes, assisting employee development, and helping maintain effective workplace practices.",communication; recruitment; organization; HR policies; interviewing; documentation; people skills,people; workplace culture; communication; recruitment; employee development,people-centered and process-oriented; frequent conversations; confidential documentation and coordination,HR fundamentals → recruitment → employment processes → interviewing → HR analytics basics → practical HR projects
Financial Analyst,Finance,"Examines financial statements, budgets, investments, and business performance to help organizations make financial and investment decisions.",Excel; accounting basics; financial statements; financial modeling; statistics; presentation,finance; numbers; business performance; investments; forecasting,quantitative and detail-focused; spreadsheet-heavy; periodic reporting and presentations,Accounting basics → Excel → financial statements → ratios → financial modeling → valuation basics → analysis projects
